Channel,Rank,Bank,Row,Col,Count,Cycle,CMD
0,0,0,32703,79,1,3255:,WR
0,0,0,32709,29,1,1413:,RD
0,0,0,32709,30,1,928:,RD
0,0,0,32709,30,2,937:,RD
0,0,0,32709,30,3,941:,RD
0,0,0,32709,30,4,945:,RD
0,0,0,32709,30,5,949:,RD
0,0,0,32709,37,1,2565:,RD
0,0,0,32709,38,1,1864:,RD
0,0,0,32709,44,1,954:,RD
0,0,2,32701,68,1,4409:,WR
0,0,4,32709,91,1,1843:,RD
0,0,4,32709,91,2,1851:,RD
0,0,4,32709,91,3,1855:,RD
0,0,4,32709,91,4,249:,RD
0,0,4,32709,91,5,502:,RD
0,0,4,32709,91,6,641:,RD
0,0,4,32709,91,7,684:,RD
0,0,4,32709,91,8,920:,RD
0,0,4,32709,92,1,1079:,RD
0,0,4,32709,92,2,1444:,RD
0,0,4,32709,92,3,1448:,RD
0,0,4,32709,92,4,1839:,RD
0,0,4,32709,92,5,1847:,RD
0,0,4,32709,92,6,3218:,RD
0,0,4,32709,92,7,3339:,RD
0,0,4,32709,92,8,506:,RD
0,0,4,32709,92,9,653:,RD
0,0,4,32709,92,10,665:,RD
0,0,4,32709,93,1,2569:,RD
0,0,4,32709,93,2,2983:,RD
0,0,4,32709,93,3,657:,RD
0,0,4,32709,93,4,661:,RD
0,0,4,32709,93,5,932:,RD
0,0,4,32709,94,1,1083:,RD
0,0,4,32709,94,2,1859:,RD
0,0,4,32709,94,3,2448:,WR
0,0,4,32709,94,4,2497:,WR
0,0,4,32709,94,5,2561:,RD
0,0,4,32709,94,6,649:,RD
0,0,4,32709,97,1,2516:,RD
0,0,4,32709,97,2,2520:,RD
0,0,4,32709,97,3,2987:,RD
0,0,4,32709,97,4,645:,RD
0,0,4,32709,97,5,924:,RD
0,0,4,32709,98,1,245:,RD
0,0,4,32709,98,2,670:,RD
0,0,4,32709,98,3,675:,RD
0,0,4,32709,98,4,680:,RD
0,0,4,32710,14,1,2101:,RD
0,0,4,32710,14,2,2105:,RD
0,0,4,32710,14,3,2308:,RD
0,0,4,32710,14,4,2911:,RD
0,0,4,32710,15,1,2093:,RD
0,0,4,32710,15,2,2097:,RD
0,0,4,32710,18,1,1996:,RD
0,0,4,32710,18,2,2143:,RD
0,0,4,32710,19,1,2138:,RD
0,0,4,32710,19,2,2264:,RD
0,0,4,32710,19,3,2280:,RD
0,0,4,32710,20,1,343:,RD
0,0,4,32710,20,2,347:,RD
0,0,4,32710,20,3,82:,RD
0,0,4,32710,21,1,1972:,RD
0,0,4,32710,21,2,1980:,RD
0,0,4,32710,21,3,2020:,RD
0,0,4,32710,21,4,2077:,RD
0,0,4,32710,21,5,2081:,RD
0,0,4,32710,21,6,2121:,RD
0,0,4,32710,21,7,2129:,RD
0,0,4,32710,21,8,2276:,RD
0,0,4,32710,21,9,2288:,RD
0,0,4,32710,21,10,2296:,RD
0,0,4,32710,21,11,2879:,RD
0,0,4,32710,21,12,2903:,RD
0,0,4,32710,21,13,2907:,RD
0,0,4,32710,22,1,1118:,RD
0,0,4,32710,22,2,1488:,RD
0,0,4,32710,22,3,1976:,RD
0,0,4,32710,22,4,2004:,RD
0,0,4,32710,22,5,2024:,RD
0,0,4,32710,22,6,2113:,RD
0,0,4,32710,22,7,2268:,RD
0,0,4,32710,22,8,2272:,RD
0,0,4,32710,22,9,2284:,RD
0,0,4,32710,22,10,2875:,RD
0,0,4,32710,22,11,2899:,RD
0,0,4,32710,22,12,2915:,RD
0,0,4,32710,22,13,3023:,RD
0,0,4,32710,22,14,3027:,RD
0,0,4,32710,22,15,335:,RD
0,0,4,32710,22,16,339:,RD
0,0,4,32710,22,17,380:,RD
0,0,4,32710,22,18,765:,RD
